NN,Description,Justification
1.1,"էներգետիկական կազմակերպությունում պահվող անհրաժեշտ փաստաթղթերը՝ շենքերի, շինությունների, տեխնոլոգիական հանգույցների և համալիրների սարքավորումների տեխնիկական անձնագրերն առկա չեն։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 12-րդ ենթակետ։"
1.2,էներգետիկական կազմակերպությունում պահվող անհրաժեշտ փաստաթղթերը՝ առաջնային և երկրորդային էլեկտրական միացումների կատարողական աշխատանքային սխեմաներն առկա չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 14-րդ ենթակետ։"
1.3,էներգետիկական կազմակերպությունում պահվող անհրաժեշտ փաստաթղթերը՝ հրդեհամարման օպերատիվ պլանն առկա չէ։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 104-րդ կետի 17-րդ ենթակետ։"
2,Հերթապահ անձնակազմի մոտ օպերատիվ փաստաթղթերը` աղյուսակ N 1*-ում տրված ծավալով առկա չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 2-րդ բաժնի 10-րդ գլխի 116-րդ կետ։"
3,Բաշխիչ սարքվածքի (ԲՍ) հողակցման սարքվածքների սխեմաներն առկա չեն։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 568-Ն որոշում, հավելվածի 6-րդ բաժնի 46-րդ գլխի 860-րդ կետի 2-րդ ենթակետ։"
4.1,Բարձր ռիսկայնության պայմաններում կատարվող աշխատանքների կարգագրով կատարվող աշխատանքներին ներկայացվող պահանջները չեն պահպանվում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 102-րդ կետի 1-ին ենթակետ։"
4.2,Բարձր լարման էլեկտրատեղակայանքների վրա միջին ռիսկայնության պայմաններում կատարվող աշխատանքներ կարգագրով կատարվող աշխատանքներին ներկայացվող պահանջները չեն պահպանվում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 102-րդ կետի 2-րդ ենթակետ։"
4.3,"էլեկտրատեղակայանքներում աշխատանքներին, երբ ներգրավվում են նույն կազմակերպության տարբեր կառուցվածքային ստորաբաժանումների աշխատողներ, կարգագրով կատարվող աշխատանքներին ներկայացվող պահանջները չեն պահպանվում։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 102-րդ կետի 3-րդ ենթակետ։"
4.4,Այլ կազմակերպության անձնակազմի կողմից գործատուի գործող էլեկտրատեղակայանքներում կատարվող աշխատանքներին կարգագրով կատարվող աշխատանքներին ներկայացվող պահանջները չեն պահպանվում։,"ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 102-րդ կետի 4-րդ ենթակետ։"
5,"Միայն կարգագրով, գրավոր կարգադրությամբ, ընթացիկ շահագործման կարգով կատարվող, կարգագրով` պարտադիր աշխատանքների պատասխանատու ղեկավարի նշանակմամբ, կատարվող աշխատանքների ցանկն առկա չէ։","ՀՀ կառավարության 2023 թվականի ապրիլի 21-ի N 583-Ն որոշում, հավելվածի 2-րդ բաժնի 12-րդ գլխի 101-րդ կետ։"
