NN,Description,Justification
1,"Ստորգետնյա գազատարի ուղեգիծը հատուկ ցուցատախտակներով (հենանիշերով, պատերին փակցված ցուցատախտակներով և այլն) նշված չէ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 26-րդ կետ:"
2.1,"Ստորգետնյա գազատարի վրա անջատող փական տեղադրելու համար նախատեսված դիտահորը չի գտնվում սպասարկման համար մատչելի տեղում` կառուցապատման գոտուց, շենքի պատից, արդյունաբերական կամ կոմունալ կազմակերպության պարսպապատից նվազագույնը` 2 մ հեռավորության վրա:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 42-րդ կետ:"
2.2,"Ստորգետնյա գազատարի վրա անջատող փական տեղադրելու համար նախատեսված դիտահորը դաշտային պայմաններում չունի 0,4-0,5 մ բարձրություն` հեշտությամբ բացվող մետաղյա ծածկով/ կափարիչով:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 42-րդ կետ:"
3.1,Գազատարի վրա չափիչ-հսկիչ կետերը բնակավայրերի տարածքից դուրս` տեղակայված են իրարից 500 մ-ից ավելի հեռավորության վրա:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 48-րդ կետ:"
3.2, Գազատարի վրա չափիչ-հսկիչ կետերը տեղակայված չեն գազատարների և էլեկտրաֆիկացված տրանսպորտի ռելսային գծերի հետ` փոխհատման տեղերում:,"ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 48-րդ կետ:"
4,"Էլեկտրահաղորդման գծերի հետ հատման կետից 10 մ-ից պակաս հեռավորության վրա առկա են վերգետնյա գազատարների վրա տեղադրված փականներ, կոնդենսատահավաքարաններ և այլ սարքավորումներ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 49-րդ կետ:"
5,"Գազատարների հատումը երկաթուղային տրանսպորտի ռելսային գծերի սլաքների և խաչաձև հատման, ինչպես նաև հեռացնող մալուխների միացման կետերի տակ:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 50-րդ կետ:"
6,"N 1* աղյուսակում և N 2**աղյուսակում սահմանված հենքերի (սյուների) վրայով անցնող վերգետնյա գազատարներից մինչև շենքերը և շինությունները հորիզոնական հեռավորությունը, ինչպես նաև արտաքին գազատարների անցկացման բարձրության մեծությունները պահպանված չեն:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 53-րդ կետ:"
7,"Շենքերի ծածկերի վրայով անցնող գազատարի ստորին եզրի` ծածկից առնվազն 0,5 մ հեռավորության վրա գտնվելն ապահովված չէ: ","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 58-րդ կետ:"
8,"Շենքերի արտաքին պատերով անցկացրած գազատարների և էլեկտրական լարերի (պաշտպանված և ոչ մեկուսացրած) հատման տեղերում, ինչպես նաև դրանց զուգահեռ անցկացման դեպքում N 3*** աղյուսակում ներկայացված նվազագույն հեռավորությունները պահպանված չեն:","ՀՀ կառավարության 2023 թվականի ապրիլի 13-ի N 539-Ն որոշում, հավելվածի 2-րդ բաժնի 2-րդ գլխի 63-րդ կետ:"
